search_seed,replicate,mc_seed,baseline_revenue,optimized_revenue,diff,rs_revenue,sa_revenue,diff_rs,diff_sa
0,0,1000000,770561.2124,784507.7179,13946.5055,782259.3522,780406.6425,2248.3656,4101.0754
0,1,1000001,770380.0688,784385.7978,14005.7290,782118.7731,780278.3620,2267.0248,4107.4358
0,2,1000002,769530.2398,783472.2279,13941.9881,781183.6780,779317.3311,2288.5499,4154.8968
0,3,1000003,767274.1975,781208.8855,13934.6880,778944.7728,777085.5274,2264.1127,4123.3581
0,4,1000004,768885.9518,782839.9175,13953.9658,780570.4031,778735.9118,2269.5145,4104.0057
0,5,1000005,768225.7046,782185.0076,13959.3030,779910.4415,778016.0591,2274.5661,4168.9485
0,6,1000006,769513.9886,783449.9704,13935.9818,781148.5736,779287.0802,2301.3968,4162.8903
0,7,1000007,769425.5480,783417.8040,13992.2559,781134.0266,779265.4452,2283.7773,4152.3587
0,8,1000008,771405.8040,785374.1577,13968.3537,783126.7399,781298.6499,2247.4177,4075.5078
0,9,1000009,771196.5840,785131.2973,13934.7133,782855.1151,781032.8675,2276.1822,4098.4298
0,10,1000010,770346.8677,784358.9973,14012.1296,782066.4077,780213.0468,2292.5896,4145.9505
0,11,1000011,770497.9889,784475.5613,13977.5723,782195.8797,780323.8424,2279.6815,4151.7189
0,12,1000012,767038.1578,780929.3052,13891.1474,778687.1635,776786.2518,2242.1417,4143.0535
0,13,1000013,771448.0260,785448.0427,14000.0168,783161.4547,781297.2091,2286.5880,4150.8337
0,14,1000014,768706.2961,782653.3641,13947.0680,780389.4787,778544.2683,2263.8854,4109.0958
0,15,1000015,767540.7954,781407.4050,13866.6096,779128.6698,777274.8081,2278.7352,4132.5969
0,16,1000016,769062.4945,783011.3729,13948.8784,780721.6232,778865.0894,2289.7497,4146.2835
0,17,1000017,771641.9975,785617.0181,13975.0206,783369.0410,781478.3209,2247.9771,4138.6972
0,18,1000018,770721.0697,784703.2987,13982.2290,782408.4110,780541.4446,2294.8878,4161.8541
0,19,1000019,770123.7668,784081.6479,13957.8811,781800.9230,779957.2803,2280.7250,4124.3676
0,20,1000020,770594.2094,784569.8132,13975.6038,782294.5739,780460.5061,2275.2394,4109.3071
0,21,1000021,769989.2714,783942.9415,13953.6701,781695.8930,779871.5031,2247.0485,4071.4384
0,22,1000022,771025.3383,785076.6291,14051.2907,782797.7985,780922.8157,2278.8305,4153.8134
0,23,1000023,767732.1992,781672.8166,13940.6175,779407.1199,777524.9271,2265.6968,4147.8896
0,24,1000024,768412.2545,782339.1773,13926.9228,780097.1828,778234.8251,2241.9945,4104.3522
0,25,1000025,767752.3726,781696.0332,13943.6606,779459.5671,777596.3700,2236.4661,4099.6632
0,26,1000026,768435.6141,782409.5736,13973.9595,780106.2499,778266.6656,2303.3237,4142.9080
0,27,1000027,770195.9043,784159.8699,13963.9656,781929.7109,780069.9033,2230.1590,4089.9665
0,28,1000028,771020.0913,785005.7180,13985.6267,782753.9199,780895.2148,2251.7982,4110.5032
0,29,1000029,768244.7427,782175.8622,13931.1194,779906.4985,778064.6371,2269.3637,4111.2251
1,0,1000000,770561.2124,783697.4127,13136.2003,780640.7243,783849.8304,3056.6884,-152.4178
1,1,1000001,770380.0688,783577.3823,13197.3135,780510.2225,783716.8980,3067.1598,-139.5157
1,2,1000002,769530.2398,782629.8955,13099.6557,779561.5109,782788.3344,3068.3846,-158.4389
1,3,1000003,767274.1975,780390.5205,13116.3230,777323.4951,780534.7332,3067.0254,-144.2128
1,4,1000004,768885.9518,782043.1493,13157.1975,778981.2153,782193.0455,3061.9340,-149.8962
1,5,1000005,768225.7046,781360.4798,13134.7752,778270.0325,781503.7787,3090.4473,-143.2989
1,6,1000006,769513.9886,782635.4901,13121.5015,779523.8878,782782.0748,3111.6023,-146.5847
1,7,1000007,769425.5480,782608.5843,13183.0363,779529.9123,782764.8354,3078.6720,-156.2511
